on x=-15..36,y=-36..8,z=-12..33
on x=-49..4,y=-24..27,z=-45..3
on x=-18..27,y=-44..6,z=-44..5
on x=-17..29,y=-23..23,z=-14..35
on x=-6..40,y=-43..9,z=-20..30
on x=-37..12,y=0..48,z=-45..2
on x=-47..7,y=-43..1,z=-19..33
on x=-20..29,y=-35..15,z=-28..19
on x=-45..3,y=-24..30,z=-32..13
on x=-27..25,y=-37..17,z=-48..3
off x=27..40,y=15..26,z=0..11
on x=-22..23,y=-33..18,z=-41..4
off x=-38..-21,y=-18..-7,z=-29..-20
on x=-11..33,y=-43..5,z=-20..34
off x=5..19,y=33..49,z=-39..-25
on x=-15..32,y=-27..22,z=-45..0
off x=-10..5,y=17..27,z=-4..12
on x=2..49,y=-46..2,z=-13..35
off x=15..27,y=-19..-8,z=-14..5
on x=-1..47,y=-24..23,z=-38..13
on x=-63699..-30935,y=-44942..-13530,z=-64371..-44538
on x=-59912..-41895,y=-50016..-36554,z=49470..61593
on x=-44610..-35424,y=-74270..-50977,z=-19507..-1834
on x=54513..78252,y=11460..31839,z=-48732..-29269
on x=-34169..-4352,y=62043..91296,z=-5077..7244
on x=-1110..24332,y=13070..41432,z=-79184..-60366
on x=-17481..-1302,y=46625..74856,z=-61039..-41043
on x=48854..77195,y=38918..47498,z=-45031..-28532
on x=-10776..9010,y=54671..68859,z=33447..61536
on x=28421..43757,y=41541..61220,z=39397..52225
on x=-71255..-42549,y=-52258..-42229,z=39642..43283
on x=52540..76729,y=-54341..-32823,z=-273..5025
on x=-5652..24972,y=73539..89083,z=9623..25933
on x=41484..66404,y=44291..61108,z=-32988..-21048
on x=-78139..-73673,y=-24379..-16395,z=-29874..-13779
on x=-76236..-55415,y=-14445..2985,z=-50132..-41754
on x=-54930..-34724,y=-61826..-37484,z=19165..49138
on x=-16263..13979,y=66109..84667,z=-61921..-41568
on x=-61221..-41809,y=-28838..-2784,z=-74020..-54812
on x=-37301..-23009,y=63379..78326,z=-3635..22771
on x=38433..51794,y=-19649..-6633,z=-76219..-54054
on x=15023..19691,y=66786..90255,z=-33829..-1960
