seeds: 2880930400 17599561 549922357 200746426 1378552684 43534336 155057073 56546377 824205101 378503603 1678376802 130912435 2685513694 137778160 2492361384 188575752 3139914842 1092214826 2989476473 58874625

seed-to-soil map:
341680072 47360832 98093750
1677587229 1836834678 160297919
1122651749 4014790961 280176335
2279929873 2689269992 53644948
3916120104 1199400457 172302726
0 381576527 58197295
1402828084 3450816018 274759145
3909949227 2540063154 6170877
802918801 2384227172 155835982
4088422830 3244271552 206544466
958754783 1997132597 28874650
58197295 306349987 75226540
180784667 145454582 160895405
2334903647 1543332738 293501940
3699983017 2997982209 25342830
2333574821 2687941166 1328826
3111317969 1371703183 171629555
2806959198 2135774873 248452299
2766721604 717118138 40237594
3055411497 2632034694 55906472
2628405587 3023325039 138316017
1837885148 757355732 442044725
3725325847 2813358829 184623380
3353391413 2026007247 109767626
987629433 3962399141 10015813
717118138 2546234031 85800663
3282947524 2742914940 70443889
1080275742 3972414954 42376007
133423835 0 47360832
3463159039 3725575163 236823978
997645246 3161641056 82630496

soil-to-fertilizer map:
303672059 1087423328 103502353
171922589 2907629744 91556518
2064217168 468859004 91214014
1129888530 1046445685 40977643
3698610046 4215442249 79525047
1045870106 1586657152 41455160
1170866173 1322928302 17679660
4160148003 3332238470 107558461
4267706464 3853049576 27260832
0 3007612896 90771201
3447204990 3880310408 249339913
1189561657 1438888401 43309463
4019710828 3219712242 104981462
2226263856 2187322171 114088350
553216166 1847338068 182148047
3217647099 3439796931 229557891
2832115692 1482197864 23307900
867366834 94995931 178503272
1969221237 0 94995931
3785679859 3704810535 148239041
1095751900 2693816297 34136630
4124692290 3669354822 35455713
454935727 1340607962 98280439
2204466075 1628112312 21797781
1947833351 2164918461 21387886
2634687717 1649910093 197427975
263479107 2850768768 40192952
3696544903 3217647099 2065143
735364213 1190925681 132002621
3050783393 2337205982 47600704
1087325266 2999186262 8426634
3778135093 3324693704 7544766
2855423592 273499203 195359801
90771201 1505505764 81151388
2340352206 560073018 290906919
1531641800 939263745 107181940
1188545833 2186306347 1015824
1355686961 850979937 88283808
1492181516 2029486115 39460284
1638823740 2384806686 309009611
2155431182 2894390312 13239432
1443970769 2068946399 48210747
1232871120 2727952927 122815841
3933918900 4129650321 85791928
2631259125 2890961720 3428592
407174412 2117157146 47761315
2168670614 2301410521 35795461

fertilizer-to-water map:
4253126168 3603943470 41841128
3150812716 3873122781 161556325
4132148538 3445929121 16652907
4071215062 2557593856 10373731
3585414898 2401284809 61555959
124617758 989226185 56063423
1311995731 916233018 72993167
180681181 891200267 25032751
1577315548 1448436684 231921083
69948934 1391916079 39397864
2730663795 3577458422 26485048
2453473122 3255362867 102306532
4148801445 3801350502 12292818
3002725397 3107275548 148087319
3525935437 3813643320 59479461
3982955340 3357669399 88259722
2631712351 2567967587 98951444
628324302 2038793089 109830184
3427245435 3721480891 3936914
796140554 1045289608 36965524
939693576 1140241200 24301167
205713932 1680357767 358435322
4161094263 2666919031 92031905
1103981621 0 206162329
1809236631 761213122 129987145
1310143950 1431313943 1851781
4081588793 3056715803 50559745
738154486 1082255132 57986068
564149254 206162329 64175048
3722667150 4034679106 260288190
