LRRLLRLLRRLRRLLRRLLRLRRRLLRRLRRRLRRLRRRLLRRLLRLLRRLRLRRRLRRLLRRRLRLRRLRRLRLRLRLLRLRRRLLRLLRRLRRRLRLRLRRRLRRLLRRRLRLRRLRRLLRRLRRRLRRLRRLRRLLRLRLRRLLRLLRRRLRRLRRLRRRLRLLRRRLRRRLRRLLRRRLRRRLRLLRLRRLRLLRRLLLRRLRRLRRLRLRRRLRRLLRLRRRLRRLRLLLRRLRRLRRRLLLRLLLLRRLRLLLRLRRRLRRRLRLRRRLLLLRLRRRLRLLLRRLRLRRLRRLRRRLRRRR

LHF = (QTF, KKT)
VRQ = (MDV, RCX)
NDF = (CHQ, FJM)
XXG = (NJP, GPX)
GDG = (JCJ, BDD)
PHF = (RMF, MHK)
LQX = (NMG, RSJ)
RPG = (VRH, BVV)
GFT = (MJK, KKN)
HHK = (GVN, XJH)
CQF = (BRS, VCC)
QJS = (XLL, VTX)
XGL = (PKM, CND)
CHZ = (JLQ, KPQ)
FGP = (HNL, NBQ)
LND = (SGB, DXR)
TXQ = (RKL, LDV)
JBC = (DRP, KFT)
QSL = (KFS, LDC)
SXJ = (JFQ, JFQ)
TDN = (XDB, DSC)
CFF = (BBB, BBB)
HTS = (FHM, XLD)
KCF = (RMN, XXG)
MNG = (HCB, RMQ)
BMX = (LVJ, MNF)
NXC = (HKD, DDM)
JCV = (KDL, KBR)
SLM = (PGL, VCG)
CDB = (GBQ, BQC)
CJH = (TXM, QCK)
RQH = (LDB, DRM)
MMV = (XSP, FGD)
DKM = (BXT, LXG)
LLJ = (RXS, VRQ)
BXN = (KFX, JCL)
RNC = (XKR, RPG)
BVV = (PFG, TFP)
MXL = (KGT, KGT)
HKV = (SMM, GFM)
XTC = (BPV, RND)
GBQ = (JPD, JQL)
KTL = (BVL, BFH)
XFF = (CJQ, DKH)
KGH = (PSF, RVB)
GBF = (HLR, HKV)
DXK = (KGS, JFJ)
JMJ = (FNB, XCC)
KXD = (VXB, TRL)
LJQ = (JBC, JRV)
VFK = (HMK, KQB)
DXM = (GBF, VDV)
JTN = (TCS, HGP)
RHH = (RXC, LGB)
MXR = (PBC, XQN)
GVK = (MSQ, SHN)
RBX = (XTX, GNJ)
MVX = (PFQ, DVH)
VLK = (QBQ, DLN)
SBQ = (MMQ, FTP)
JMG = (MJV, MJV)
BVB = (SJB, KBQ)
LTF = (THJ, TVN)
GGX = (PVB, TCP)
XLS = (PGL, VCG)
MMP = (LDB, DRM)
NVD = (HKF, CKX)
GDT = (TJT, KNK)
GNJ = (HTS, KDH)
MJK = (QJF, PQQ)
XDL = (NXC, MTB)
